Rank,Prioridade,Finalidade,Status,Gerências,GPM,NOTA,ORDEM,DESCRICAO,Critério,OM - Status Sistema,OM - Status Usuário,Prazo demanda
13,9,Segurança Ocupacional,Falta material,HDT,CAL,15391147,2029230487,K-2311002(VAZ)-Remover isol.térm.verif.,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV MATF MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE GAD  CRIT,2025-03-30
14,9,Continuidade Operacional,Programável,REFINO,CAL,15778704,2030182013,J-0570116AB(XV-57024)-Limp.Troc.,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-03-31
15,9,Demanda Não-crítica,Programável,UTILIDADES,ELE,15559841,2029565066,CB-6311 - Avaliar Carregador/Baterias,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV JBFI KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE CRIT,2025-04-15
16,9,RESP,Programável,UTILIDADES,CAL,15600226,2029636555,D-400V5(V-414BT)[VAZ]-Insp.Vazat.Header,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP IMED 1ESC CRIT,2025-05-01
17,9,"Ordem, Limpeza e Arrumação",Programável,TRANSFERÊNCIA,COM,15913364,2030237960,U-800(P-801G)-Limp.Cx.EO.,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP,2025-05-01
18,9,Continuidade Operacional,Programável,UTILIDADES,INS,15598219,2029612176,XV-5121037 (O-002C) Valvula não abre,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-05-02
19,9,Continuidade Operacional,Falta material,REFINO,ELE,15965540,2029787534,O-502-TF-502B-Avaliar transformador,Prioridade máxima definida pela área demandante,LIB  CNPA CAPC DMNV IMPA MATF MOME NOLQ,FMAT SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE GAD  IMED CRIT,2025-05-14
20,9,Continuidade Operacional,Impedido,UTILIDADES,INS,15217991,2029161980,O-005E XV-5121084 Válvula em moving,Prioridade máxima definida pela área demandante,LIB  CNPA CAPC IMPA MatC NOLQ,IMPD OPER TRIA EQEC ANEX MPOP MPMI CRIT PRIA,2025-05-30
21,9,Apoio de Rotina a Operação,Programável,UTILIDADES,CAL,15867905,2030142498,SE-201-Reparara  dobradiças da porta,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC CRIT,2025-06-30
22,9,Apoio de Rotina a Operação,Programável,TRANSFERÊNCIA,INS,15474444,2029379827,LT-80059 (P806B/801E/801C)subst caixas,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU,2025-07-01
23,9,Apoio de Rotina a Operação,Programável,SMS,CAL,15904005,2030213018,SMS(N-2311001) - Substituir Biruta,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC,2025-07-26
24,9,Apoio de Rotina a Operação,Falta material,REFINO,CAL,15688292,2029812839,M-522A-Limpeza trocador baixa eficiência,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV MATF MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE GAD  CRIT PRIA,2025-07-31
25,9,Segurança Ocupacional,Programável,UTILIDADES,ELE,15943522,2030293347,DESAERADOR-PL-4001 - Revisar circuito de,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC CRIT,2025-10-03
26,9,Vazamento,Programável,UTILIDADES,CAL,15915253,2030238592,O-329-1(VAZ)-Reaperto flange entrada,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC CRIT,2026-02-11
27,9,Vazamento,Programável,REFINO,CAL,14725693,2028106491,PG-003-00110(VAZ)-Eliminar vazto. V5,Prioridade máxima definida pela área demandante,LIB  CNPA IMPR CAPC DMNV NOLQ,SIMP TRIA EQEC ANEX MPOP MPMI 1ESC APRE CRIT,2026-07-31
28,9,Demanda Não-crítica,Falta material,Oficinas,ELE,15718397,2029838294,Oficina_Revisão Elétrica,Prioridade máxima definida pela área demandante,LIB  CNPA CAPC DMNV IMPA MATF MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC CRIT,2026-11-27
29,9,Demanda Não-crítica,Programável,Oficinas,INS,13345604,2025348010,OFICINA MA - Manutenção de pilotos,Prioridade máxima definida pela área demandante,LIB  CNPA CAPC DMNV ERRD IMPA MOME NOLQ,SIMP TRIA EQEC PMAU ANEX AEGE AEGO MPMI CRIT,2031-08-31
30,9,Apoio de Rotina a Operação,TM GPI - Aguarda MPMI,REFINO,LAB,14251879,2027201599,AM-750005 (CIPA)(N-701) amostrador danif,Prioridade máxima definida pela área demandante,ABER CAPC ERRD KKMP,SIMP CRIT,2022-12-30
31,9,Vazamento,Parada,REFINO,PAR,15228438,2028962567,O-590(VAZ)-Substituir válvula de vent,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC DMNV NOLQ,FMAT IMPD TRIA EQEC ANEX PPRO MPOP MPMI 1ESC APRE,2024-06-04
32,9,Continuidade Operacional,TO GPI - Encerrar nota,TRANSFERÊNCIA,CAL,15222534,2028981469,U-860-TUBULAÇÕES O-800906(SAO) efetuar l,Prioridade máxima definida pela área demandante,,,2024-12-16
33,9,RESP,Falta material,SOP,CAL,15705585,2029820126,U-570-Fixar reforço estrut.grades piso,Prioridade máxima definida pela área demandante,LIB  CAPC DMNV MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-01-03
34,9,RESP,Parada,REFINO,PAR,15717854,2029839838,DP-570D Dispersor Inf. D VAZ PQT 048,Prioridade máxima definida pela área demandante,,,2025-01-31
35,9,Continuidade Operacional,Concluído,REFINO,MEC,15722749,2029856329,J-548BT REVISÃO GERAL,Prioridade máxima definida pela área demandante,TENC LIB  CONF IMPR CAPC DMNV JBFI MOME*,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-25
36,9,Outro Crítico,TO GPI - Encerrar nota,UTILIDADES,MEC,15927382,2030266926,J-422B Vazamento de água pelo selo,Prioridade máxima definida pela área demandante,,,2025-05-28
37,9,Demanda Não-crítica,Concluído,HDT,INS,15064524,2028903838,XV-2313062 Dando passagem,Prioridade máxima definida pela área demandante,LIB  CONF IMPR CAPC DMNV JBFI MOME NOLQ,SIMP TRIA EQEC PMAU ANEX ABCO MPMI 1ESC APRE,2025-05-30
38,9,Outro Crítico,Falta material,UTILIDADES,INS,15451176,2029415046,O-004A - FV-5121009 Manutenção geral,Prioridade máxima definida pela área demandante,LIB  CAPC DMNV IMPA MATF NOLQ,IMPD TRIA ANEX FMAT MPMI MPOP PMAU 1ESC,2025-05-30
39,9,RESP,TO GPI - Encerrar nota,TRANSFERÊNCIA,INS,15858226,2030119018,J-859-BM Vazamento na linha de água,Prioridade máxima definida pela área demandante,,,2025-05-30
40,9,Apoio de Rotina a Operação,Concluído,UTILIDADES,INS,15915346,2030234428,V-301H XS-30301H -Sinal alarmado,Prioridade máxima definida pela área demandante,LIB  CONF IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-05-30
41,9,Segurança Ocupacional,TO GPI - Encerrar nota,HDT,CAL,15614698,2029635258,UHDS Grade esgoto quebrada,Prioridade máxima definida pela área demandante,,,2025-06-27
42,9,RESP,TM GPI - Aguarda Ordem,UTILIDADES,ELE,15950513,,PN-SIP-04 Sem vedação,Prioridade máxima definida pela área demandante,,,2025-06-27
43,9,Apoio de Rotina a Operação,Concluído,TRANSFERÊNCIA,INS,15474528,2029379826,LT-80052 (P801I) subst 2 caixas (alim e,Prioridade máxima definida pela área demandante,LIB  CONF IMPR CAPC DMNV JBFI MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-06-30
44,9,Continuidade Operacional,TO GPI - Encerrar nota,UTILIDADES,INS,15726507,2029855930,HS-30204 Válvula em moving - J-350D,Prioridade máxima definida pela área demandante,,,2025-06-30
45,9,Outro Crítico,Microplanejamento,UTILIDADES,INS,15927454,2030336508,S-571 PV-57212 Vazam. de vapor corpo,Prioridade máxima definida pela área demandante,ABER CAPC KKMP,SIMP MPMI,2025-06-30
46,9,Apoio de Rotina a Operação,TM GPI - Aguarda MAN,UTILIDADES,INS,15930245,2030352105,P-322 LT-31011 -Reparo de eletroduto,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC KKMP NOLQ,SIMP ANEX EQEC MPMI 1ESC,2025-06-30
47,9,Continuidade Operacional,Impedido,UTILIDADES,INS,15639797,2029689893,XV-5121025 (O-002A) Falha no fechamento,Prioridade máxima definida pela área demandante,LIB  CAPC DMNV KKMP NOLQ,IMPD TRIA ANEX MPMI MPOP 1ESC,2025-07-01
48,9,Continuidade Operacional,Falta material,UTILIDADES,CAL,15659105,2029723441,O-304B/Z-301B-Limpeza e revisão carrinho,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC KKMP NOLQ,IMPD TRIA ANEX EQEC FMAT MPMI MPOP 1ESC,2025-07-01
49,9,RESP,Microplanejamento,TRANSFERÊNCIA,SOP,15705835,2029808291,U-300(ETA2;LODO)-Repar.Civ.Teto,Prioridade máxima definida pela área demandante,ABER CAPC KKMP,SIMP MPMI,2025-07-01
50,9,Demanda Não-crítica,Programável,TRANSFERÊNCIA,INS,15956916,2030315197,FT-80037 NGB3 (antiga Copagaz),Prioridade máxima definida pela área demandante,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-07-18
51,9,Segurança Ocupacional,Microplanejamento,REFINO,CAL,15447844,2029329425,VS-572-Adequar suportação das linhas,Prioridade máxima definida pela área demandante,ABER CAPC KKMP,IMPD MPMI,2025-07-25
52,9,Outro Crítico,TO GPI - Encerrar nota,UTILIDADES,INS,15918896,2030238059,XV-5121136 VALVULA NÃO ABRE,Prioridade máxima definida pela área demandante,,,2025-07-31
53,9,Continuidade Operacional,TM GPI - Aguarda MAN,UTILIDADES,INS,15922706,2030336513,GV-6301 FV-40064 -Válvula com passagem,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC KKMP NOLQ,SIMP ANEX EQEC MPMI 1ESC,2025-08-01
54,9,Continuidade Operacional,TM GPI - Aguarda MAN,UTILIDADES,INS,15922677,2030336518,GV-6302 FV-40065 Válvula com passagem,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC KKMP NOLQ,SIMP ANEX EQEC MPMI 1ESC APRE,2025-08-01
55,9,Continuidade Operacional,Microplanejamento,UTILIDADES,INS,15922879,2030336520,O-5132005 AV-5132837 Válvula com passage,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC KKMP NOLQ,SIMP ANEX MPMI 1ESC,2025-08-01
56,9,Continuidade Operacional,Parada,UTILIDADES,PAR,15922717,,AV-5132837 Válvulas manuais com passage,Prioridade máxima definida pela área demandante,,,2025-08-01
57,9,Inspeção Gerencial,TO GPI - Aguarda TRIA,SOP,COM,15893948,2030326406,PREDIO ETA 1-Pintura de escada portátil,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP ANEX EQEC MPMI 1ESC,2025-08-13
58,9,Inspeção Gerencial,Falta material,UTILIDADES,CAL,15896148,2030208776,O-304D-Subst.grade do piso corroída,Prioridade máxima definida pela área demandante,LIB  CAPC DMNV IMPA MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC CRIT,2025-08-14
59,9,Inspeção Gerencial,TO GPI - Aguarda MSPR,SOP,ELE,15896093,,PREDIO ETA 1 Substit tampas eletrocalhas,Prioridade máxima definida pela área demandante,,,2025-08-14
60,9,Continuidade Operacional,Microplanejamento,UTILIDADES,INS,15966547,2030369810,O-5121002A XV-5121002 -Valvula não fecha,Prioridade máxima definida pela área demandante,ABER CAPC KKMP,SIMP MPMI,2025-09-23
61,9,Vazamento,Programável,UTILIDADES,MEC,15913469,2030303836,XV-57024 ALTA TEMPERATURA DE OLEO,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC DMNV MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-09-30
62,9,Continuidade Operacional,TO GPI - Aguarda TRIA,UTILIDADES,INS,15976700,2030351448,J-425B XV-40108B VAZAMENTO DE VAPOR,Prioridade máxima definida pela área demandante,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP ANEX EQEC MPMI IMED 1ESC APRE,2025-09-30
63,9,Vazamento,TO GPI - Encerrar nota,UTILIDADES,CAL,15974840,2030346699,K-318 Furo na linha de reposição,Prioridade máxima definida pela área demandante,,,2025-10-31
64,9,Continuidade Operacional,Falta material,UTILIDADES,ELE,15983010,2030369420,J-881BDE-Revisar gaveta em oficina,Prioridade máxima definida pela área demandante,LIB  CAPC DMNV MATF NOLQ,SIMP MPMI,2025-11-07
65,9,Segurança Ocupacional,Microplanejamento,UTILIDADES,CAL,15841803,2030142497,K-301E-Revitalização das estruturas,Prioridade máxima definida pela área demandante,ABER CAPC KKMP,SIMP MPMI,2025-11-28
66,9,Demanda Não-crítica,Falta material,TRANSFERÊNCIA,INS,15907941,2030213173,PT-80071A Esferas GLP executar GM,Prioridade máxima definida pela área demandante,LIB  CAPC MATF NOLQ,SIMP ANEX MPMI PMAU,2026-02-06
67,9,Apoio de Rotina a Operação,Falta material,UTILIDADES,CAL,15882309,2030203048,L-5132001-Substituir grade piso,Prioridade máxima definida pela área demandante,LIB  CAPC DMNV IMPA MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC CRIT,2026-03-06
68,9,00000000,Microplanejamento,UTILIDADES,CAL,15473682,2029380516,OSMOSE2-Pint./Subst.Telh.(ZR),Prioridade máxima definida pela área demandante,ABER CAPC KKMP,SIMP MPMI,2026-07-04
69,9,Continuidade Operacional,Concluído,HDT,INS,15386831,2030183021,LT-2225571 indicação oscilando,Prioridade máxima definida pela área demandante,LIB  CONF IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC CRIT,2026-12-31
70,9,Continuidade Operacional,Impedido,UTILIDADES,MEC,15680885,2029759534,V-402T REVISAR REDUTOR,PFCEO - Função Amarela,LIB  CNPA IMPR CAPC DMNV JBFI MOME NOLQ,IMPD TRIA EERE EQEC PMAU ANEX MPOP MPMI 1ESC APRE FAEV,2025-04-25
71,9,Apoio de Rotina a Operação,Programável,TRANSFERÊNCIA,MEC,15878018,2030176087,O-803A INSPECIONAR CORRENTES,PFCEO - Função Amarela,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE FAEV,2025-05-05
72,9,Apoio de Rotina a Operação,Programável,HDT,INS,15516866,2029461428,ZEX-2313414A V-2313001A sensor de queda,PFCEO - Função Amarela,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE FAEV,2025-05-30
73,9,Vazamento,Programável,HDT,MEC,15928958,2030315342,J-2225501A SUBSTITUIR SELO,PFCEO - Função Amarela,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPMI 1ESC APRE FAEV,2025-07-07
74,9,Continuidade Operacional,Programável,UTILIDADES,ELE,15981268,2030364392,CB-2011-A_Retificado com Defeito,PFCEO - Função Amarela,LIB  CNPA CAPC DMNV IMPA NOLQ,SIMP TRIA EQEC ANEX MPOP MPMI 1ESC APRE FAEV,2025-09-04
75,9,00000000,Programável,REFINO,CAL,15789267,2030142663,M-501A-Inst.reforço estrut.linha by pass,ZR-A/ZR-B/ZR-C/ZR-D + 630 dias,LIB  CNPA CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-04-19
76,9,00000000,Falta material,UTILIDADES,CAL,14672979,2027882875,K-318-Subst.Escad./Plataf./Pint.(ZR),ZR-A/ZR-B/ZR-C/ZR-D + 630 dias,LIB  IMPR CAPC MatC NOLQ,FMAT IMPD TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-29
77,9,Continuidade Operacional,Parada,HDT,PAR,15958116,,LT-2225571 Indicação travada em 100%,IAZF_SO Falha/RTDT,,,2025-04-25
78,9,,Impedido,,IEQ,,2029366778,Z-0200001C (chiller): Inspeção das PSV´s,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,IMPD TRIA EQEC ANEX PMAU MPMI 1ESC APRE,2024-09-27
79,9,,Programável,,MEC,,2030287606,V-415  PREVENTIVA COMPRESSOR,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-03-11
80,9,,Programável,,MEC,,2030336572,S-5132001T - PREVENTIVA TURBINA GÁS,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-09
81,9,,Programável,,ELE,,2029662273,SE-280 Preventiva em bateria Alcalinas,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-04-10
82,9,,TM GPI - Aguarda MPMI,,INS,,2022379893,U-6521 - Preventiva SGSO,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CAPC DMNV KKMP NOLQ,SIMP ANEX,2020-07-23
83,9,,Falta material,,IEQ,,2028491874,M-6521004-A/B-Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CAPC DMNV IMPA MATF NOLQ,EQEC FMAT PMAU TRIA IMPD ANEX MPMI MPOP 1ESC APRE,2023-11-06
84,9,,Falta material,,IEQ,,2028491876,M-6521004C/D - Inspeção geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC DMNV MATF MOME NOLQ,EQEC FMAT PMAU TRIA IMPD ANEX MPMI MPOP 1ESC APRE,2023-11-06
85,9,,Concluído,,IEQ,,2029367670,PSV-70208  Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF IMPR CAPC DMNV JBFI MATF NOLQ,EQEC TRIA IMPD ANEX MPMI MPOP 1ESC APRE PRIA,2024-09-26
86,9,,Concluído,,IEQ,,2029367671,PSV-70209-Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF IMPR CAPC DMNV JBFI NOLQ,EQEC TRIA IMPD ANEX MPMI MPOP 1ESC APRE PRIA,2024-09-26
87,9,,Concluído,,IEQ,,2029367672,PSV-75001-Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF IMPR CAPC DMNV JBFI NOLQ,EQEC TRIA IMPD ANEX MPMI MPOP 1ESC APRE PRIA,2024-09-26
88,9,,Concluído,,IEQ,,2029367673,PSV-75002-Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF IMPR CAPC DMNV JBFI NOLQ,EQEC TRIA IMPD ANEX MPMI MPOP 1ESC APRE PRIA,2024-09-26
89,9,,Concluído,,IEQ,,2029367677,PSV-75005-B-Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF CAPC DMNV IMPA JBFI MATF NOLQ,EQEC TRIA IMPD ANEX MPMI MPOP 1ESC APRE PRIA,2024-09-26
90,9,,Concluído,,IEQ,,2029367678,PSV-75008-B-Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF IMPR CAPC DMNV JBFI NOLQ,EQEC TRIA IMPD ANEX MPMI MPOP 1ESC APRE PRIA,2024-09-26
91,9,,Concluído,,IEQ,,2029366779,PSV-2313608 Inspeção interna,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF IMPR CAPC DMNV JBFI MOME NOLQ,IMPD TRIA EQEC ANEX MPMI MPOP 1ESC APRE,2024-11-20
92,9,,Concluído,,IEQ,,2030035675,PSV-30284  Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF IMPR CAPC DMNV JBFI MATF NOLQ,SIMP TRIA EQEC ANEX PMAU MPMI MPOP 1ESC,2025-01-08
93,9,,Falta material,,IEQ,,2030035684,PSV-5121002 Inspeção interna,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CAPC IMPA MATF NOLQ,IMPD TRIA EQEC ANEX MPMI MPOP 1ESC,2025-01-08
94,9,,Impedido,,IEQ,,2030035685,PSV-5121001 Inspeção interna,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC DMNV NOLQ,IMPD TRIA EQEC ANEX MPMI MPOP 1ESC,2025-01-08
95,9,,Falta material,,IEQ,,2030036007,PSV-80859-B  Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC DMNV MATF NOLQ,IMPD TRIA EQEC ANEX MPMI MPOP 1ESC APRE,2025-01-08
96,9,,Impedido,,ELE,,2029885417,J-2313001AM Med. Descarga Parcial,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC,2025-02-11
97,9,,Concluído,,IEQ,,2029845849,PSV-80610-Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  CONF IMPR CAPC DMNV JBFI MATF MOME*,EQEC PMAU TRIA SIMP ANEX MPMI MPOP 1ESC APRE,2025-03-11
98,9,,Programável,,INS,,2030264595,SDAI - Prev. SE´s e CCL´s - rota 1,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-04-01
99,9,,Impedido,,IEQ,,2029845850,PSV-80230-A  Inspeção Geral,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC DMNV NOLQ,IMPD TRIA EQEC ANEX MPMI MPOP 1ESC APRE,2025-04-04
100,9,,TO GPI - Aguarda TRIA,,INS,,2030212719,U-2311 Preventiva instrumentos NR-13,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC KKMP NOLQ,SIMP ANEX EQEC MPMI 1ESC,2025-04-06
101,9,,Microplanejamento,,INS,,2030320007,GV-6302 - Preventiva NR-13 instrumentos,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP MPMI,2025-04-13
102,9,,Microplanejamento,,MEC,,2030368578,J-587-BT VERIFICAR /AJUSTAR TRIP,ICPM_SO/API_SO/ICPM_PFCEO Crítico,ABER CAPC KKMP,SIMP MPMI,2025-04-16
103,9,,Programável,,INS,,2030264622,U-2225 Preventiva instrumentos NR-13,ICPM_SO/API_SO/ICPM_PFCEO Crítico,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-04-17
